Position = 0066, Accumulator = 0.000000e+00, Counter = 0
Position = 0067, Accumulator = 0.000000e+00, Counter = 0
Position = 0068, Accumulator = 0.000000e+00, Counter = 0
Position = 0069, Accumulator = 0.000000e+00, Counter = 1
Position = 0070, Accumulator = 0.000000e+00, Counter = 0
Position = 0071, Accumulator = 0.000000e+00, Counter = 0
Position = 0072, Accumulator = 0.000000e+00, Counter = 0
Position = 0073, Accumulator = 0.000000e+00, Counter = 0
Position = 0074, Accumulator = 0.000000e+00, Counter = 0
Position = 0075, Accumulator = 0.000000e+00, Counter = 0
Position = 0076, Accumulator = 0.000000e+00, Counter = 0
Position = 0077, Accumulator = 0.000000e+00, Counter = 0
Position = 0078, Accumulator = 0.000000e+00, Counter = 0
Position = 0079, Accumulator = 0.000000e+00, Counter = 0
Position = 0080, Accumulator = 0.000000e+00, Counter = 1
Position = 0081, Accumulator = 0.000000e+00, Counter = 0
Position = 0082, Accumulator = 0.000000e+00, Counter = 0
Position = 0083, Accumulator = 0.000000e+00, Counter = 0
Position = 0084, Accumulator = 0.000000e+00, Counter = 1
Position = 0085, Accumulator = 0.000000e+00, Counter = 0
Position = 0086, Accumulator = 0.000000e+00, Counter = 1
Position = 0087, Accumulator = 0.000000e+00, Counter = 0
Position = 0088, Accumulator = 0.000000e+00, Counter = 0
Position = 0089, Accumulator = 0.000000e+00, Counter = 2
Position = 0090, Accumulator = 0.000000e+00, Counter = 0
Position = 0091, Accumulator = 0.000000e+00, Counter = 0
Position = 0092, Accumulator = 0.000000e+00, Counter = 0
Position = 0093, Accumulator = 0.000000e+00, Counter = 2
Position = 0094, Accumulator = 0.000000e+00, Counter = 0
Position = 0095, Accumulator = 0.000000e+00, Counter = 0
Position = 0096, Accumulator = 0.000000e+00, Counter = 0
Position = 0097, Accumulator = 0.000000e+00, Counter = 0
Position = 0098, Accumulator = 0.000000e+00, Counter = 1
Position = 0099, Accumulator = 0.000000e+00, Counter = 1
Position = 0100, Accumulator = 0.000000e+00, Counter = 0
Position = 0101, Accumulator = 0.000000e+00, Counter = 0
Position = 0102, Accumulator = 0.000000e+00, Counter = 0
Position = 0103, Accumulator = 0.000000e+00, Counter = 1
Position = 0104, Accumulator = 0.000000e+00, Counter = 0
